,clean_text
231,"<mark>We should never forget, of course, that Her Majesty the Queen was among thousands who lost close family members during the troubles and that, by her actions, she has supported the efforts towards peace and reconciliation</mark>"
232,<mark> Will there be that commitment to prime time news for Channel 4 under a new ownership model</mark>
233,"<mark>Our TV and radio industry is one of our great success stories, and public service broadcasters such as Channel 4 are central to that success</mark>"
234,"<mark> As a result, while streaming services have enjoyed a 19% increase in subscribers in recent years, the share of total viewers for linear TV channels such as the BBC and ITV has fallen by more than 20%</mark>"
235,"<mark> Tomorrow, therefore, we will be publishing a White Paper that proposes major reforms to our decadesold broadcasting regulationsreforms that will put traditional broadcasters such as the BBC, ITV and Channel 4 on an even playing field with Netflix, Amazon Prime and others, and enable them to thrive in the streaming age</mark>"
236,"<mark> The independent production sector has exploded in the last few decades, growing from a £500 million industry in 1995 to an industry of approximately £3 billion in 2019</mark>"
237,"<mark> However, since it was structured to address the challenges of the 1980s, there are limits to Channel 4s ability to adapt to the 2020s and beyond</mark>"
238,"<mark> Streamers such as Netflix spent £779 million on UK productions in 2020, more than twice as much as Channel 4</mark>"
239,"<mark> While other PSBs, such as the BBC and Channel 5, have the freedom to make and sell their own content, Channel 4 has no inhouse studio and relies almost entirely on linear television advertising spend at a time when those revenues are rapidly shifting online</mark>"
240,"<mark> The Government believe that it is time to unleash the broadcasters full potential and to open Channel 4 up to private ownership and investmentcrucially, while protecting its public service broadcasting remit</mark>"
241,"<mark> We believe we can sell Channel 4 to a buyer who will fund emerging talent and independent and impartial news, and invest in every corner of the UK</mark>"
242,<mark> Only 7% of its revenue comes from Channel 4</mark>
243,"<mark> We need to give people the skills to fill the jobs in them, so we will reinvest the proceeds of a Channel 4 sale into levelling up the creative sector and giving people in leftbehind areas the training and opportunity to work in the industry</mark>"
244,"<mark> As I said, the future of Channel 4 is just one part of our wider reform of the entire broadcasting sector, and I look forward to providing the House with the full details shortly</mark>"
245,"<mark> Channel 4 is an incredibly important economic asset in that ecosystem, and we want to make sure that it is sustainable not just now but long into the future</mark>"
246,<mark> We think it is our responsibility as the Government to do that futuregazing and to make sure that Channel 4 has the freedom and flexibility it needs to be able to make changes to thrive</mark>
247,<mark> We had very much hoped that we would be able to set the sale of Channel 4 in the context of a wider series of incredibly important reforms that we wish to make to the public service broadcasting sector</mark>
248,"<mark> We think that we can get the right blend by retaining Channel 4s public service broadcast remit, which maintains its distinct and unique appeal, while enabling it to get the private sector capital investment that it requires to deal with some of the wider challenges presented by the likes of Netflix</mark>"
249,"<mark> If Channel 4 is to remain uniquely appealing, we need that investment in content, and we believe that the reforms will give it greater sustainability going forward</mark>"
250,"<mark> In this country, we are able to have a great blend of specific public service remits that private broadcasters can deliver, and that is what we would seek to do with Channel 4 going forward, protecting the things that we enjoy and love about it</mark>"
251,<mark> We believe that any future buyer of Channel 4 would seek to purchase it precisely to tap into the specific markets that it appeals to</mark>
252,"<mark> Channel 4 has fundamentally accepted those concerns in providing us with a range of alternative options, which we have looked at very carefully</mark>"
253,<mark> Gentleman needs to understand that we are not seeking to have a subscription model for Channel 4</mark>
254,"<mark>Urgent Question To ask the Secretary of State for Digital, Culture, Media and Sport if she will make a statement on the privatisation of Channel 4</mark>"
255,"<mark>Up and down the country, public service broadcasters, such as Channel 4, the BBC and ITV, are treasured national assets, delivering vital news, education, entertainment and sport</mark>"
